# wavelength Total_Reflection Total_Transmission Absorption 
4.14 0.9738698751 3.023863661e-08 0.02613009469 
4.145 0.9736773185 3.017370723e-08 0.02632265128 
4.15 0.9734404236 3.011723369e-08 0.02655954627 
4.155 0.9731913507 3.007184504e-08 0.02680861923 
4.16 0.9729271084 3.003792781e-08 0.02707286156 
4.165 0.9725920781 3.001825705e-08 0.02740789183 
4.17 0.9722311944 3.001616398e-08 0.02776877561 
4.175 0.9718272537 3.003235857e-08 0.02817271627 
4.18 0.9714423418 3.007214736e-08 0.02855762812 
4.185 0.9709128514 3.01379041e-08 0.02908711847 
4.19 0.9703321829 3.023807699e-08 0.02966778682 
4.195 0.9696475789 3.037950363e-08 0.03035239073 
4.2 0.9688462988 3.057729121e-08 0.03115367067 
4.205 0.9678807557 3.084571917e-08 0.03211921349 
4.21 0.966697745 3.12099406e-08 0.03330222376 
4.215 0.9652121589 3.171034088e-08 0.03478780943 
4.22 0.9632977918 3.240719058e-08 0.03670217581 
4.225 0.9607116729 3.340951142e-08 0.03928829369 
4.23 0.9569064677 3.492402098e-08 0.0430934974 
4.235 0.9509937167 3.741766307e-08 0.04900624587 
4.24 0.9400280267 4.214261427e-08 0.05997193116 
4.245 0.912516892 5.442154846e-08 0.08748305362 
4.25 0.01480103657 5.313370289e-07 0.9851984321 
4.255 0.8563017249 1.575877205e-07 0.1436981175 
4.26 0.9183625579 1.072345236e-07 0.08163733488 
4.265 0.9393532276 8.724486533e-08 0.06064668514 
4.27 0.9496557713 7.616359241e-08 0.05034415258 
4.275 0.9557990432 6.897698121e-08 0.04420088784 
4.28 0.9597865343 6.391626893e-08 0.04021340177 
4.285 0.96262151 6.00978077e-08 0.03737842987 
4.29 0.9646596909 5.708777804e-08 0.03534025206 
4.295 0.9662704468 5.464103052e-08 0.03372949858 
4.3 0.9675082564 5.259984252e-08 0.03249169096 
4.305 0.9684638977 5.086552025e-08 0.03153605143 
4.31 0.9693243504 4.936363178e-08 0.03067560028 
4.315 0.9699908495 4.805113862e-08 0.03000910245 
4.32 0.9705272913 4.688388944e-08 0.02947266182 
4.325 0.970992744 4.584584591e-08 0.02900721019 
4.33 0.9714000821 4.490515604e-08 0.02859987298 
4.335 0.9718042612 4.405660693e-08 0.02819569474 
4.34 0.9720554948 4.327340818e-08 0.02794446194 
4.345 0.9723510742 4.255845165e-08 0.02764888322 
4.35 0.9725564718 4.189662677e-08 0.02744348628 
4.355 0.9727795124 4.128137175e-08 0.02722044631 
4.36 0.9729183316 4.070960391e-08 0.02708162767 
4.365 0.9730668068 4.017488897e-08 0.02693315303 
4.37 0.9731966257 3.967348386e-08 0.02680333462 
4.375 0.9733099341 3.920215566e-08 0.02669002666 
4.38 0.9734765887 3.875868901e-08 0.02652337252 
4.385 0.9735072851 3.833679749e-08 0.02649267655 
4.39 0.9735918045 3.793810188e-08 0.02640815756 
4.395 0.9736279249 3.75597756e-08 0.02637203752 
4.4 0.9736308455 3.719675987e-08 0.02636911726 
4.405 0.9737157822 3.685554587e-08 0.02628418098 
4.41 0.9738006592 3.652729594e-08 0.02619930429 
4.415 0.973803699 3.621365585e-08 0.02619626477 
4.42 0.9738169909 3.591315764e-08 0.02618297323 
4.425 0.9738483429 3.562612366e-08 0.02615162148 
4.43 0.9738526344 3.532841078e-08 0.02614733024 
4.435 0.9738815427 3.501544868e-08 0.0261184223 
4.44 0.9738641977 3.471119753e-08 0.02613576756 
4.445 0.9738541842 3.44192273e-08 0.02614578143 
4.45 0.9738377333 3.413395633e-08 0.0261622326 
4.455 0.9738153815 3.386041586e-08 0.02618458461 
4.46 0.973803699 3.359483905e-08 0.02619626739 
4.465 0.9738038182 3.333730411e-08 0.02619614844 
4.47 0.9737313986 3.308846602e-08 0.02626856833 
4.475 0.9737466574 3.284832412e-08 0.02625330978 
4.48 0.9737099409 3.261229092e-08 0.02629002648 
4.485 0.9736562967 3.238509094e-08 0.02634367088 
4.49 0.9735955 3.216288433e-08 0.02640446784 
4.495 0.9735274315 3.194713566e-08 0.02647253656 
4.5 0.9735276699 3.173877919e-08 0.02647229835 
4.505 0.9734523296 3.153501466e-08 0.02654763883 
4.51 0.9734009504 3.13366238e-08 0.02659901823 
4.515 0.9733462334 3.114419206e-08 0.02665373549 
4.52 0.9732859135 3.095668985e-08 0.02671405558 
4.525 0.9732118845 3.077246524e-08 0.02678808473 
4.53 0.9731655121 3.059483408e-08 0.02683445732 
4.535 0.9731056094 3.042148783e-08 0.02689436016 
4.54 0.9730373621 3.025288123e-08 0.02696260765 
4.545 0.9729728103 3.008793745e-08 0.02702715964 
4.55 0.9729059935 2.992716649e-08 0.02709397661 
4.555 0.9728159904 2.976940733e-08 0.02718397978 
